City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Ushuaia,75,AR,2019-09-11,75,-54.81,-68.31,42.8,3.36
Ostrovnoy,13,RU,2019-09-11,88,68.05,39.51,48.3,15.75
Rikitea,49,PF,2019-09-11,81,-23.12,-134.97,72.24,17.34
Qaanaaq,0,GL,2019-09-11,58,77.48,-69.36,22.02,6.64
Albany,90,US,2019-09-11,82,42.65,-73.75,72.0,3.83
Hermanus,34,ZA,2019-09-11,88,-34.42,19.24,57.99,1.01
Vaini,75,IN,2019-09-11,94,15.34,74.49,71.6,6.93
Mahebourg,40,MU,2019-09-11,88,-20.41,57.7,68.0,3.36
Bredasdorp,100,ZA,2019-09-11,88,-34.53,20.04,54.0,1.01
Kaeo,14,NZ,2019-09-11,92,-35.1,173.78,59.0,11.07
Cacapava do Sul,95,BR,2019-09-11,95,-30.51,-53.49,52.8,8.21
Busselton,18,AU,2019-09-11,50,-33.64,115.35,73.99,17.67
Mataura,98,NZ,2019-09-11,73,-46.19,168.86,50.0,10.0
Vestmanna,67,FO,2019-09-11,93,62.16,-7.17,50.0,12.75
Dikson,87,RU,2019-09-11,67,73.51,80.55,36.42,30.89
Kruisfontein,100,ZA,2019-09-11,91,-34.0,24.73,59.46,17.05
Kaitangata,91,NZ,2019-09-11,62,-46.28,169.85,45.0,17.0
Istok,43,PL,2019-09-11,100,52.66,23.48,53.01,6.87
Eyl,0,SO,2019-09-11,74,7.98,49.82,75.3,23.09
Saint-Philippe,90,CA,2019-09-11,100,45.36,-73.48,61.0,3.22
Kapaa,40,US,2019-09-11,70,22.08,-159.32,89.6,19.46
Nanortalik,100,GL,2019-09-11,88,60.14,-45.24,39.12,4.7
Jamestown,0,AU,2019-09-11,36,-33.21,138.6,70.08,9.46
Te Anau,87,NZ,2019-09-11,63,-45.41,167.72,44.52,10.94
Fortuna,90,US,2019-09-11,93,40.6,-124.16,64.99,8.05
Hami,99,CN,2019-09-11,34,42.84,93.51,70.26,6.71
Nshamba,40,TZ,2019-09-11,88,-1.8,31.55,66.2,1.43
Ponta do Sol,78,BR,2019-09-11,40,-20.63,-46.0,71.52,3.56
Samana,0,EC,2019-09-11,84,0.12,-76.97,70.8,1.66
Saskylakh,100,RU,2019-09-11,88,71.97,114.09,38.94,13.27
Punta Arenas,40,CL,2019-09-11,75,-53.16,-70.91,42.8,14.99
Dabat,98,ET,2019-09-11,92,12.98,37.77,63.78,0.2
New Norfolk,0,AU,2019-09-11,26,-42.78,147.06,69.8,20.8
Tuktoyaktuk,75,CA,2019-09-11,93,69.44,-133.03,51.8,5.82
Tiksi,62,RU,2019-09-11,67,71.64,128.87,38.4,7.0
Barrow,70,AR,2019-09-11,95,-38.31,-60.23,40.38,4.59
Thompson,20,CA,2019-09-11,73,55.74,-97.86,33.8,2.24
Coroata,39,BR,2019-09-11,45,-6.39,-44.31,73.68,3.65
Chokurdakh,3,RU,2019-09-11,59,70.62,147.9,40.92,12.33
Klaksvik,45,FO,2019-09-11,93,62.23,-6.59,50.0,12.75
Namibe,2,AO,2019-09-11,89,-15.19,12.15,65.22,10.83
Tocopilla,43,CL,2019-09-11,79,-22.09,-70.2,59.28,12.01
Deputatskiy,26,RU,2019-09-11,47,69.3,139.9,38.58,4.68
Sistranda,40,NO,2019-09-11,72,63.73,8.83,62.01,19.46
Kavaratti,100,IN,2019-09-11,78,10.57,72.64,82.14,17.2
Helong,0,CN,2019-09-11,56,25.94,116.13,90.06,2.66
Miles City,90,US,2019-09-11,93,46.41,-105.84,55.4,16.11
Avarua,92,CK,2019-09-11,78,-21.21,-159.78,77.0,12.75
Price,40,US,2019-09-11,28,39.6,-110.81,69.8,18.34
Cape Town,75,ZA,2019-09-11,82,-33.93,18.42,59.0,6.93
Hilo,90,US,2019-09-11,65,19.71,-155.08,82.4,8.05
Luganville,90,VU,2019-09-11,69,-15.51,167.18,77.0,5.82
Yankton,90,US,2019-09-11,88,42.87,-97.4,75.99,9.17
Constitucion,75,MX,2019-09-11,59,23.99,-104.67,66.2,2.24
Newberry,90,US,2019-09-11,100,46.35,-85.51,66.2,5.82
East London,40,ZA,2019-09-11,93,-33.02,27.91,64.4,18.34
Garowe,95,SO,2019-09-11,70,8.41,48.48,74.76,21.18
Tecoanapa,40,MX,2019-09-11,78,16.99,-99.26,82.4,6.93
Vestmannaeyjar,100,IS,2019-09-11,86,63.44,-20.27,50.28,7.16
Tasiilaq,0,GL,2019-09-11,69,65.61,-37.64,37.4,4.7
Yar-Sale,100,RU,2019-09-11,82,66.83,70.83,38.04,12.73
Bambous Virieux,40,MU,2019-09-11,88,-20.34,57.76,68.0,3.36
Bluff,0,AU,2019-09-11,27,-23.58,149.07,73.68,11.5
Rio Tercero,96,AR,2019-09-11,87,-32.17,-64.11,44.52,3.76
Longyearbyen,75,NO,2019-09-11,65,78.22,15.63,46.4,23.04
Olbia,40,IT,2019-09-11,100,40.92,9.49,66.2,5.82
Honningsvag,75,NO,2019-09-11,76,70.98,25.97,57.2,4.7
Kununurra,0,AU,2019-09-11,6,-15.77,128.74,86.0,14.99
Lianzhou,25,CN,2019-09-11,69,24.79,112.38,85.02,1.59
Astara,90,AZ,2019-09-11,88,38.42,48.87,64.4,4.43
College Station,1,US,2019-09-11,83,30.63,-96.33,77.0,5.82
Teya,75,MX,2019-09-11,83,21.05,-89.07,79.0,6.93
Margate,0,AU,2019-09-11,26,-43.03,147.26,69.8,20.8
Ambon,0,FR,2019-09-11,100,47.55,-2.56,55.99,5.82
Yulara,0,AU,2019-09-11,4,-25.24,130.99,78.8,12.75
Leningradskiy,100,RU,2019-09-11,91,69.38,178.42,43.08,15.08
Inhambane,0,MZ,2019-09-11,95,-23.87,35.38,60.9,4.32
Provideniya,75,RU,2019-09-11,76,64.42,-173.23,50.0,11.18
Cidreira,34,BR,2019-09-11,91,-30.17,-50.22,60.36,7.99
Pangnirtung,69,CA,2019-09-11,93,66.15,-65.72,31.2,1.68
Grafton,40,AU,2019-09-11,34,-29.69,152.93,70.0,10.29
Solnechnyy,80,RU,2019-09-11,60,50.72,136.64,64.68,1.99
Kuytun,100,RU,2019-09-11,74,54.34,101.51,55.32,5.55
Port Alfred,100,ZA,2019-09-11,89,-33.59,26.89,66.99,5.01
Castro,0,CL,2019-09-11,86,-42.48,-73.76,33.8,4.7
Miramar,20,CR,2019-09-11,69,10.09,-84.73,73.4,5.82
Hithadhoo,37,MV,2019-09-11,68,-0.6,73.08,83.94,6.55
Cayenne,0,GF,2019-09-11,88,4.94,-52.33,77.0,6.15
Ribeira Grande,3,PT,2019-09-11,74,38.52,-28.7,70.26,13.82
Lethem,30,GY,2019-09-11,71,3.38,-59.8,80.7,2.57
Aldan,0,RU,2019-09-11,52,58.61,125.39,60.18,9.73
Sembakung,20,ID,2019-09-11,74,3.82,117.25,87.8,4.7
Butaritari,100,KI,2019-09-11,69,3.07,172.79,82.68,11.9
Henties Bay,0,NA,2019-09-11,90,-22.12,14.28,55.0,1.99
Cabo San Lucas,5,MX,2019-09-11,69,22.89,-109.91,82.0,9.17
Bara,5,NG,2019-09-11,86,10.41,10.6,69.72,1.66
Kloulklubed,90,PW,2019-09-11,74,7.04,134.26,84.2,23.04
Nikolskoye,0,RU,2019-09-11,87,59.7,30.79,61.0,8.95
